Player		 Dealer	 Stand	 Hit	 Double	 Split	
3 10 		6	-0.1581	-0.2325	 None 	 None 	
3 10 		7	-0.4527	-0.2598	 None 	 None 	
3 10 		8	-0.5194	-0.3024	 None 	 None 	
3 10 		9	-0.5278	-0.3921	 None 	 None 	
3 10 		10	-0.5686	-0.4686	 None 	 None 	
3 10 		A	-0.7792	-0.5887	 None 	 None 	
3 A 		2	-0.2793	-0.0216	 None 	 None 	
3 A 		3	-0.2577	0.0132	 None 	 None 	
3 A 		4	-0.2157	0.0243	 None 	 None 	
3 A 		5	-0.1779	0.0408	 None 	 None 	
3 A 		6	-0.1251	0.1254	 None 	 None 	
3 A 		7	-0.4761	0.0510	 None 	 None 	
3 A 		8	-0.5140	0.0051	 None 	 None 	
3 A 		9	-0.5464	-0.0963	 None 	 None 	
3 A 		10	-0.5806	-0.2202	 None 	 None 	
3 A 		A	-0.7636	-0.3570	 None 	 None 	
4 2 		2	-0.2901	-0.1668	 None 	 None 	
4 2 		3	-0.2541	-0.1233	 None 	 None 	
4 2 		4	-0.2169	-0.0915	 None 	 None 	
4 2 		5	-0.1569	-0.0429	 None 	 None 	
4 2 		6	-0.1407	-0.0057	 None 	 None 	
4 2 		7	-0.4677	-0.1476	 None 	 None 	
4 2 		8	-0.5050	-0.2436	 None 	 None 	
4 2 		9	-0.5716	-0.3066	 None 	 None 	
4 2 		10	-0.5992	-0.3969	 None 	 None 	
4 2 		A	-0.7684	-0.5419	 None 	 None 	
4 3 		2	-0.2829	-0.0993	 None 	 None 	
4 3 		3	-0.2577	-0.0819	 None 	 None 	
4 3 		4	-0.2151	-0.0513	 None 	 None 	
4 3 		5	-0.1497	0.0012	 None 	 None 	
4 3 		6	-0.1131	0.0708	 None 	 None 	
4 3 		7	-0.4743	-0.0810	 None 	 None 	
4 3 		8	-0.4791	-0.2511	 None 	 None 	
4 3 		9	-0.5332	-0.2868	 None 	 None 	
4 3 		10	-0.5662	-0.3912	 None 	 None 	
4 3 		A	-0.7540	-0.5170	 None 	 None 	
4 4 		2	-0.2697	-0.0123	 None 	-0.2217	
4 4 		3	-0.2439	0.0213	 None 	-0.1893	
4 4 		4	-0.2205	0.0324	 None 	-0.1626	
4 4 		5	-0.1287	0.0948	 None 	0.0087	
4 4 		6	-0.1659	0.0954	 None 	-0.0453	
4 4 		7	-0.5068	0.0678	 None 	-0.2319	
4 4 		8	-0.5308	-0.0471	 None 	-0.3840	
4 4 		9	-0.5728	-0.2157	 None 	-0.5320	
4 4 		10	-0.5458	-0.2775	 None 	-0.6403	
4 4 		A	-0.7606	-0.4296	 None 	-0.9619	
4 5 		2	-0.3279	0.0489	0.0162	 None 	
4 5 		3	-0.2307	0.1224	0.1644	 None 	
4 5 		4	-0.2073	0.1176	0.1806	 None 	
4 5 		5	-0.1629	0.1410	0.2604	 None 	
4 5 		6	-0.1467	0.1953	0.3354	 None 	
4 5 		7	-0.4689	0.1590	0.1536	 None 	
4 5 		8	-0.4911	0.1089	0.0288	 None 	
4 5 		9	-0.5464	-0.0723	-0.3582	 None 	
4 5 		10	-0.5884	-0.1977	-0.5869	 None 	
4 5 		A	-0.7666	-0.3405	-0.9169	 None 	
4 6 		2	-0.2937	0.1794	0.3990	 None 	
4 6 		3	-0.2313	0.2442	0.4518	 None 	
4 6 		4	-0.1785	0.2664	0.4992	 None 	
4 6 		5	-0.1773	0.2547	0.4662	 None 	
4 6 		6	-0.1581	0.2817	0.5587	 None 	
4 6 		7	-0.4629	0.2529	0.4494	 None 	
4 6 		8	-0.5290	0.2124	0.2832	 None 	
4 6 		9	-0.5062	0.1482	0.2160	 None 	
4 6 		10	-0.5374	-0.0378	-0.1242	 None 	
4 6 		A	-0.7816	-0.2481	-0.6175	 None 	
4 7 		2	-0.3129	0.2268	0.4734	 None 	
4 7 		3	-0.2493	0.2991	0.5359	 None 	
4 7 		4	-0.2097	0.2889	0.5533	 None 	
4 7 		5	-0.1587	0.2994	0.6127	 None 	
4 7 		6	-0.1461	0.3315	0.6859	 None 	
4 7 		7	-0.4773	0.3066	0.4842	 None 	
4 7 		8	-0.5308	0.2421	0.3492	 None 	
4 7 		9	-0.5170	0.1671	0.2172	 None 	
4 7 		10	-0.5770	0.0195	-0.0282	 None 	
4 7 		A	-0.7924	-0.2313	-0.5761	 None 	
4 8 		2	-0.3021	-0.2469	 None 	 None 	
4 8 		3	-0.2745	-0.2379	 None 	 None 	
4 8 		4	-0.2319	-0.2490	 None 	 None 	
4 8 		5	-0.1347	-0.1413	 None 	 None 	
4 8 		6	-0.1683	-0.1638	 None 	 None 	
4 8 		7	-0.4779	-0.2304	 None 	 None 	
4 8 		8	-0.5272	-0.2835	 None 	 None 	
4 8 		9	-0.5200	-0.3501	 None 	 None 	
4 8 		10	-0.5776	-0.4440	 None 	 None 	
4 8 		A	-0.7702	-0.5521	 None 	 None 	
4 9 		2	-0.2805	-0.2811	 None 	 None 	
4 9 		3	-0.2463	-0.2769	 None 	 None 	
4 9 		4	-0.2133	-0.2751	 None 	 None 	
4 9 		5	-0.1539	-0.2526	 None 	 None 	
4 9 		6	-0.1755	-0.2370	 None 	 None 	
4 9 		7	-0.4767	-0.2601	 None 	 None 	
4 9 		8	-0.4911	-0.3369	 None 	 None 	
4 9 		9	-0.5434	-0.3747	 None 	 None 	
4 9 		10	-0.5872	-0.4590	 None 	 None 	
4 9 		A	-0.7780	-0.5797	 None 	 None 	
4 10 		2	-0.3303	-0.3945	 None 	 None 	
4 10 		3	-0.2367	-0.3411	 None 	 None 	
4 10 		4	-0.2229	-0.3354	 None 	 None 	
4 10 		5	-0.1467	-0.3246	 None 	 None 	
4 10 		6	-0.1611	-0.2904	 None 	 None 	
4 10 		7	-0.4815	-0.3147	 None 	 None 	
4 10 		8	-0.5320	-0.3726	 None 	 None 	
4 10 		9	-0.5626	-0.4569	 None 	 None 	
4 10 		10	-0.5836	-0.5044	 None 	 None 	
4 10 		A	-0.7498	-0.5851	 None 	 None 	
4 A 		2	-0.3105	-0.0090	 None 	 None 	
4 A 		3	-0.2373	-0.0156	 None 	 None 	
4 A 		4	-0.1863	0.0336	 None 	 None 	
4 A 		5	-0.1569	0.0684	 None 	 None 	
4 A 		6	-0.1749	0.0657	 None 	 None 	
4 A 		7	-0.4563	0.0414	 None 	 None 	
4 A 		8	-0.5260	-0.0456	 None 	 None 	
4 A 		9	-0.5206	-0.1389	 None 	 None 	
4 A 		10	-0.5512	-0.2622	 None 	 None 	
4 A 		A	-0.7600	-0.3900	 None 	 None 	
5 2 		2	-0.2991	-0.1113	 None 	 None 	
5 2 		3	-0.2481	-0.0819	 None 	 None 	
5 2 		4	-0.2007	-0.0339	 None 	 None 	
5 2 		5	-0.1563	0.0135	 None 	 None 	
5 2 		6	-0.1533	0.0363	 None 	 None 	
5 2 		7	-0.4749	-0.0693	 None 	 None 	
5 2 		8	-0.5206	-0.2148	 None 	 None 	
5 2 		9	-0.5242	-0.2622	 None 	 None 	
5 2 		10	-0.5776	-0.3948	 None 	 None 	
5 2 		A	-0.7582	-0.5062	 None 	 None 	
5 3 		2	-0.3045	-0.0282	 None 	 None 	
5 3 		3	-0.2859	-0.0441	 None 	 None 	
5 3 		4	-0.2187	0.0339	 None 	 None 	
5 3 		5	-0.1581	0.0849	 None 	 None 	
5 3 		6	-0.1629	0.1329	 None 	 None 	
5 3 		7	-0.4659	0.0774	 None 	 None 	
5 3 		8	-0.5056	-0.0432	 None 	 None 	
5 3 		9	-0.5308	-0.2226	 None 	 None 	
5 3 		10	-0.5746	-0.3153	 None 	 None 	
5 3 		A	-0.7660	-0.4560	 None 	 None 	
5 4 		2	-0.3039	0.0519	0.0324	 None 	
5 4 		3	-0.2673	0.0885	0.0822	 None 	
5 4 		4	-0.2109	0.1458	0.1800	 None 	
5 4 		5	-0.1377	0.1833	0.3180	 None 	
5 4 		6	-0.1437	0.2109	0.3732	 None 	
5 4 		7	-0.4959	0.1656	0.1170	 None 	
5 4 		8	-0.5266	0.0819	-0.0684	 None 	
5 4 		9	-0.5536	-0.0294	-0.2988	 None 	
5 4 		10	-0.5704	-0.2079	-0.5605	 None 	
5 4 		A	-0.7852	-0.3945	-0.9601	 None 	
5 5 		2	-0.3189	0.1779	0.3288	-0.3348	
5 5 		3	-0.2505	0.2211	0.4224	-0.2385	
5 5 		4	-0.2001	0.2454	0.4806	-0.1326	
5 5 		5	-0.1725	0.2487	0.4680	-0.1068	
5 5 		6	-0.1449	0.2925	0.6055	-0.0267	
5 5 		7	-0.4803	0.2301	0.3894	-0.2592	
5 5 		8	-0.5092	0.2115	0.3036	-0.3804	
5 5 		9	-0.5518	0.1107	0.1476	-0.5608	
5 5 		10	-0.5812	-0.0705	-0.1854	-0.7018	
5 5 		A	-0.7702	-0.2682	-0.6187	-1.0279	
5 6 		2	-0.3387	0.1845	0.3996	 None 	
5 6 		3	-0.2607	0.2655	0.4944	 None 	
5 6 		4	-0.2019	0.2907	0.6265	 None 	
5 6 		5	-0.1683	0.3252	0.6007	 None 	
5 6 		6	-0.1749	0.3339	0.6367	 None 	
5 6 		7	-0.4527	0.3180	0.5653	 None 	
5 6 		8	-0.5128	0.2148	0.3264	 None 	
5 6 		9	-0.5440	0.1710	0.2142	 None 	
5 6 		10	-0.5800	0.0270	0.0342	 None 	
5 6 		A	-0.7822	-0.2097	-0.6049	 None 	
5 7 		2	-0.2763	-0.2472	 None 	 None 	
