Player		 Dealer	 Stand	 Hit	 Double	 Split	
9 10 		A	1001	997	None	None	
9 A 		2	1003	1001	None	None	
9 A 		3	1003	1001	None	None	
9 A 		4	1001	1000	None	None	
9 A 		5	1003	1003	None	None	
9 A 		6	1003	1003	None	None	
9 A 		7	1001	1001	None	None	
9 A 		8	1003	1001	None	None	
9 A 		9	1002	1001	None	None	
9 A 		10	1000	1000	None	None	
9 A 		A	1003	1001	None	None	
10 2 		2	1001	1003	None	None	
10 2 		3	997	997	None	None	
10 2 		4	1001	999	None	None	
10 2 		5	999	999	None	None	
10 2 		6	997	997	None	None	
10 2 		7	997	1001	None	None	
10 2 		8	1001	1001	None	None	
10 2 		9	997	1000	None	None	
10 2 		10	997	1000	None	None	
10 2 		A	999	997	None	None	
10 3 		2	999	999	None	None	
10 3 		3	1001	997	None	None	
10 3 		4	999	1001	None	None	
10 3 		5	997	997	None	None	
10 3 		6	999	1001	None	None	
10 3 		7	999	999	None	None	
10 3 		8	997	998	None	None	
10 3 		9	997	997	None	None	
10 3 		10	997	998	None	None	
10 3 		A	997	997	None	None	
10 4 		2	997	998	None	None	
10 4 		3	999	997	None	None	
