Player		 Dealer	 Stand	 Hit	 Double	 Split	
8 3 		4	974	1030	1056	None	
8 3 		5	984	1038	1080	None	
8 3 		6	980	1039	1058	None	
8 3 		7	954	1028	1056	None	
8 3 		8	944	1032	1014	None	
8 3 		9	940	1017	1000	None	
8 3 		10	940	1006	972	None	
8 3 		A	928	970	936	None	
8 4 		2	984	975	None	None	
8 4 		3	950	968	None	None	
8 4 		4	966	972	None	None	
8 4 		5	972	969	None	None	
8 4 		6	992	974	None	None	
8 4 		7	954	978	None	None	
8 4 		8	944	968	None	None	
8 4 		9	948	965	None	None	
8 4 		10	958	962	None	None	
8 4 		A	928	960	None	None	
8 5 		2	976	976	None	None	
8 5 		3	976	974	None	None	
8 5 		4	1004	981	None	None	
8 5 		5	970	969	None	None	
8 5 		6	992	982	None	None	
8 5 		7	934	958	None	None	
8 5 		8	952	971	None	None	
8 5 		9	944	949	None	None	
8 5 		10	936	955	None	None	
8 5 		A	932	949	None	None	
8 6 		2	960	957	None	None	
8 6 		3	982	966	None	None	
8 6 		4	972	951	None	None	
8 6 		5	962	942	None	None	
8 6 		6	982	963	None	None	
8 6 		7	960	965	None	None	
8 6 		8	936	957	None	None	
8 6 		9	938	954	None	None	
8 6 		10	936	950	None	None	
8 6 		A	932	952	None	None	
8 7 		2	964	961	None	None	
8 7 		3	962	961	None	None	
8 7 		4	1000	968	None	None	
8 7 		5	970	946	None	None	
8 7 		6	976	952	None	None	
8 7 		7	952	971	None	None	
8 7 		8	940	954	None	None	
8 7 		9	940	953	None	None	
8 7 		10	944	944	None	None	
8 7 		A	922	937	None	None	
8 8 		2	978	955	None	1001	
8 8 		3	978	958	None	1023	
8 8 		4	990	965	None	1020	
8 8 		5	978	955	None	1002	
8 8 		6	992	953	None	1037	
8 8 		7	948	953	None	1009	
8 8 		8	956	942	None	995	
8 8 		9	956	950	None	980	
8 8 		10	956	945	None	948	
8 8 		A	916	946	None	896	
8 9 		2	980	942	None	None	
8 9 		3	988	938	None	None	
8 9 		4	1007	951	None	None	
8 9 		5	995	956	None	None	
8 9 		6	984	946	None	None	
8 9 		7	1005	954	None	None	
8 9 		8	973	941	None	None	
